"i","pos_x","pos_y"
318,-58.4769004,-34.5887281
319,-58.4794894,-34.5859171
320,-58.4703669,-34.5898539
321,-58.4712883,-34.5889422
322,-58.4718241,-34.5884246
323,-58.4719336,-34.5883224
324,-58.4753022,-34.5875407
325,-58.4730987,-34.5892377
326,-58.4744421,-34.5856548
327,-58.4753084,-34.5866569
328,-58.4753657,-34.5867108
329,-58.4754239,-34.5867655
330,-58.4761966,-34.5877063
331,-58.4773911,-34.5821934
332,-58.4770995,-34.5825156
333,-58.4766511,-34.5830302
334,-58.4783003,-34.5813771
335,-58.4779372,-34.580966
336,-58.4775864,-34.5805358
337,-58.4774395,-34.5801159
338,-58.4772342,-34.5795348
339,-58.4754198,-34.5799661
340,-58.4755482,-34.5800897
341,-58.4759938,-34.5804515
342,-58.4764174,-34.5808117
343,-58.4768196,-34.5811201
344,-58.4769195,-34.5811967
345,-58.4771366,-34.5813691
346,-58.4777169,-34.58183
347,-58.4781275,-34.5820161
348,-58.4781922,-34.5820442
349,-58.4790942,-34.5824314
350,-58.4791537,-34.5824572
351,-58.4793445,-34.5837301
352,-58.4795621,-34.5837281
353,-58.4796989,-34.5837224
354,-58.4798064,-34.5837126
355,-58.4798826,-34.5837047
356,-58.4799598,-34.5836884
357,-58.4800556,-34.5836661
358,-58.4801507,-34.5836389
359,-58.4802991,-34.5835731
360,-58.4804452,-34.5834914
361,-58.4805706,-34.5833956
362,-58.4806519,-34.5833236
363,-58.4807831,-34.5831689
364,-58.4814932,-34.5817242
365,-58.4824771,-34.5823134
366,-58.4827922,-34.5825883
367,-58.4836974,-34.583369
368,-58.5084253,-34.5925463
369,-58.5083614,-34.5925053
370,-58.5074277,-34.5919069
371,-58.5108388,-34.5767188
372,-58.5100014,-34.5776495
373,-58.4743012,-34.5922822
374,-58.4740262,-34.5920763
375,-58.4730054,-34.5912279
376,-58.4729888,-34.5911878
377,-58.455344,-34.585081
378,-58.4557321,-34.5849808
379,-58.4560092,-34.5849092
380,-58.4564837,-34.5847867
381,-58.4566515,-34.5847434
382,-58.4569999,-34.5846461
383,-58.4571793,-34.584596
384,-58.4578382,-34.5844119
385,-58.4580941,-34.5843404
386,-58.4585901,-34.5842186
387,-58.4589376,-34.5841333
388,-58.4591964,-34.5840698
389,-58.473672,-34.5776302
390,-58.4736643,-34.5786394
391,-58.4736599,-34.5791444
392,-58.47368,-34.5796671
393,-58.4721726,-34.5785532
394,-58.4735431,-34.5786324
395,-58.4721632,-34.5791312
396,-58.4755756,-34.5798254
397,-58.4754717,-34.5797849
398,-58.475354,-34.5797406
399,-58.4721495,-34.5796069
400,-58.4755641,-34.5771848
401,-58.4755712,-34.577386
402,-58.4755567,-34.5776013
403,-58.4754878,-34.5786983
404,-58.4754342,-34.5796701
405,-58.4753993,-34.579711
406,-58.4750057,-34.5804728
407,-58.4751864,-34.5805791
408,-58.4752431,-34.580601
409,-58.4752927,-34.5806125
410,-58.4753685,-34.5806103
411,-58.4754378,-34.580596
412,-58.4788768,-34.5797728
413,-58.4789364,-34.5797627
414,-58.4789994,-34.5797657
415,-58.4790531,-34.5797799
416,-58.4790848,-34.5801797
417,-58.4755644,-34.5810132
418,-58.4754482,-34.5810352
419,-58.4753316,-34.5810479
420,-58.4751767,-34.5810403
421,-58.4750971,-34.5810229
422,-58.4750037,-34.5809955
423,-58.4748732,-34.5809341
424,-58.4746926,-34.5808245
425,-58.4695431,-34.5826924
426,-58.4684944,-34.5827132
427,-58.467354,-34.5827433
428,-58.4745584,-34.5814436
429,-58.4747457,-34.581491
430,-58.4748184,-34.5815076
431,-58.4749629,-34.5815227
432,-58.475142,-34.5815334
433,-58.4754551,-34.5815259
434,-58.4755924,-34.5815086
435,-58.475737,-34.5814787
436,-58.4782966,-34.5827715
437,-58.4777386,-34.5824406
438,-58.4762866,-34.5813468
439,-58.4794344,-34.5851266
440,-58.4794656,-34.5850372
441,-58.4794924,-34.5849937
442,-58.4795138,-34.5849645
443,-58.4795444,-34.5849334
444,-58.4795915,-34.5848987
445,-58.479644,-34.5848695
446,-58.4796964,-34.5848346
447,-58.4797989,-34.5847788
448,-58.4799101,-34.5847409
449,-58.48,-34.5847266
450,-58.4832978,-34.5865521
451,-58.4829598,-34.5869573
452,-58.4825412,-34.5874678
453,-58.483654,-34.5894811
454,-58.4833816,-34.5889768
455,-58.4833357,-34.5889352
456,-58.4893019,-34.5907532
457,-58.4904339,-34.5914476
458,-58.4915785,-34.5921511
459,-58.4925574,-34.5927526
460,-58.4927242,-34.5928413
461,-58.5198373,-34.5971556
462,-58.5192131,-34.5967774
463,-58.5180272,-34.5966433
464,-58.51836,-34.5962959
465,-58.5204628,-34.5961612
466,-58.5198307,-34.5968499
467,-58.5171005,-34.5941218
468,-58.5179067,-34.5946113
469,-58.5191803,-34.595395
470,-58.5213895,-34.5967419
471,-58.5214539,-34.5967508
472,-58.5214963,-34.5967403
473,-58.5215451,-34.5967154
474,-58.5215612,-34.5966647
475,-58.4042429,-34.5910927
476,-58.4051049,-34.5917627
477,-58.4060893,-34.5925594
478,-58.4524057,-34.594541
479,-58.472925,-34.604634
480,-58.4729518,-34.6045337
481,-58.4727812,-34.6036553
482,-58.4432007,-34.6436129
483,-58.4436048,-34.6432973
484,-58.4441255,-34.6428847
485,-58.5184806,-34.5895229
486,-58.5184422,-34.5895343
487,-58.5182988,-34.5895765
488,-58.4806977,-34.5860836
489,-58.4802223,-34.5865922
490,-58.481641,-34.5851575
491,-58.4811752,-34.5856122
492,-58.4872911,-34.5748425
493,-58.4865959,-34.5756753
494,-58.4858972,-34.576492
495,-58.4847963,-34.5777589
496,-58.5098425,-34.5823717
497,-58.510604,-34.5815317
498,-58.5106607,-34.5814761
499,-58.5087574,-34.5812247
500,-58.5084967,-34.5815294
501,-58.50782,-34.5822785
502,-58.5071627,-34.5830136
503,-58.5065079,-34.5837243
504,-58.4974758,-34.5937137
505,-58.4969167,-34.5943113
506,-58.4962127,-34.595073
507,-58.4956205,-34.5957393
508,-58.4955461,-34.5958227
509,-58.493108,-34.5930733
510,-58.4938416,-34.5935529
511,-58.4948433,-34.5941727
512,-58.4949815,-34.594255
513,-58.4975878,-34.5958759
514,-58.4983048,-34.5963154
515,-58.4672386,-34.5788057
516,-58.4670522,-34.5786995
517,-58.466312,-34.5782779
518,-58.465203,-34.5776326
519,-58.4640554,-34.5769898
520,-58.463273,-34.5765516
521,-58.4625393,-34.5773822
522,-58.4635097,-34.5778928
523,-58.4647046,-34.5785521
524,-58.4632295,-34.5783918
525,-58.4632689,-34.5782877
526,-58.463005,-34.5752012
527,-58.462129,-34.5757075
528,-58.4620672,-34.5757417
529,-58.4619706,-34.5757952
530,-58.4610224,-34.5762802
531,-58.4608258,-34.5763771
532,-58.4598409,-34.5769006
533,-58.4493192,-34.5811245
534,-58.4492725,-34.5813235
535,-58.4498137,-34.582401
536,-58.4505133,-34.5879136
537,-58.4497247,-34.5882616
538,-58.4527994,-34.5959783
539,-58.4515709,-34.6058471
540,-58.4525514,-34.6047793
541,-58.4525713,-34.6047577
542,-58.4535434,-34.6037122
543,-58.4504917,-34.598036
544,-58.4515809,-34.5988392
545,-58.4516555,-34.5988942
546,-58.4518156,-34.5990081
547,-58.4495038,-34.5898897
548,-58.4484218,-34.5888486
549,-58.4483825,-34.5887612
550,-58.448092,-34.5878002
551,-58.4474673,-34.5857713
552,-58.4469635,-34.5847922
553,-58.446502,-34.5839157
554,-58.4464698,-34.5807294
555,-58.4464983,-34.5807775
556,-58.4470668,-34.5819337
557,-58.4471057,-34.5820137
558,-58.4437923,-34.5822661
559,-58.4438955,-34.5822118
560,-58.4444084,-34.5819482
561,-58.444568,-34.5818713
562,-58.4449552,-34.5816256
563,-58.4451061,-34.5815188
564,-58.4659529,-34.5667406
565,-58.4655005,-34.5672503
566,-58.4588474,-34.5694725
567,-58.4599321,-34.5700589
568,-58.4608069,-34.5705328
569,-58.4608618,-34.5705626
570,-58.4609414,-34.5706025
571,-58.4812927,-34.5790574
572,-58.4805925,-34.5798805
573,-58.4804956,-34.5799945
574,-58.4956427,-34.5935297
575,-58.4982344,-34.5951216
576,-58.5119095,-34.6024103
577,-58.5113925,-34.6020944
578,-58.5112418,-34.6019992
579,-58.5106835,-34.6016707
580,-58.510406,-34.6015072
581,-58.4997357,-34.5957822
582,-58.5002614,-34.5952107
583,-58.5008764,-34.5945305
584,-58.5011089,-34.5942537
585,-58.4879313,-34.5776703
586,-58.486832,-34.5789306
587,-58.4816503,-34.5792597
588,-58.48178,-34.5793347
589,-58.48194,-34.5794258
590,-58.4829526,-34.5800053
591,-58.4837205,-34.58044
592,-58.4837994,-34.580484
593,-58.4838524,-34.5805135
594,-58.4839619,-34.5805746
595,-58.4849541,-34.5811464
596,-58.4855979,-34.5815192
597,-58.4857022,-34.5815779
598,-58.4858798,-34.581679
599,-58.4867548,-34.5821752
600,-58.4876355,-34.5826675
601,-58.4878415,-34.5827826
602,-58.4813993,-34.5775122
603,-58.4828231,-34.5783638
604,-58.48386,-34.5789222
605,-58.4848749,-34.5795166
606,-58.4858896,-34.5800507
607,-58.4867712,-34.580495
608,-58.4876671,-34.5809928
609,-58.4887447,-34.5815863
610,-58.5054644,-34.5940701
611,-58.5049409,-34.594674
612,-58.490183,-34.5777933
613,-58.4894951,-34.5785835
614,-58.4885214,-34.5798963
615,-58.4868279,-34.5820804
616,-58.486062,-34.5830566
617,-58.4859652,-34.5831735
618,-58.4854087,-34.583877
619,-58.4848441,-34.5846045
620,-58.4842795,-34.5853298
621,-58.4839442,-34.5857406
622,-58.4836264,-34.5861359
623,-58.4824971,-34.5898863
624,-58.4823598,-34.5896398
625,-58.4823401,-34.5895618
626,-58.4823372,-34.5894761
627,-58.4823471,-34.5893766
628,-58.482379,-34.5892844
629,-58.4910668,-34.5806185
630,-58.4925388,-34.5815833
631,-58.4602087,-34.5782922
632,-58.4601209,-34.5781945
633,-58.4600699,-34.5781084
634,-58.4600143,-34.5777977
635,-58.4599883,-34.5776521
636,-58.4519225,-34.5715802
637,-58.4526157,-34.5724541
638,-58.4533468,-34.5734516
639,-58.4543073,-34.575683
640,-58.4547911,-34.5765971
641,-58.455285,-34.577612
642,-58.4559438,-34.5789031
643,-58.4436969,-34.5768182
644,-58.4431156,-34.5762469
645,-58.4429261,-34.5760322
646,-58.4529273,-34.5696351
647,-58.4523673,-34.5689406
648,-58.4517897,-34.5682006
649,-58.4508993,-34.5670506
650,-58.4508546,-34.5669954
651,-58.4563028,-34.575522
652,-58.457235,-34.5751771
653,-58.4582182,-34.5748237
654,-58.4594054,-34.5744043
655,-58.459827,-34.5742458
656,-58.4688965,-34.5768428
657,-58.4679865,-34.5762931
658,-58.4669622,-34.5757173
659,-58.4668095,-34.5756286
660,-58.4666584,-34.5755038
661,-58.4660691,-34.5749802
662,-58.4663022,-34.5734675
663,-58.4653814,-34.5743744
664,-58.4642082,-34.5754927
665,-58.4821592,-34.5840148
666,-58.4812982,-34.5848651
667,-58.499782,-34.5938703
668,-58.499522,-34.5937066
669,-58.4982262,-34.5928649
670,-58.475689,-34.5814015
